,Product name: ,Price: ,Shipping: ,Total: ,URL: 
0,N/A,0.0,0.0,0.0,N/A
1,Pixies - Doolittle  [VINYL],41.38,0.0,41.38,https://www.ebay.com.au/itm/275318678203?epid=11050173324&hash=item401a45a2bb:g:AzAAAOSwpk5ih2qU
2,Pixies - Doolittle - Vinyl - New,39.99,9.3,49.290000000000006,https://www.ebay.com.au/itm/401461432262?epid=11050173324&hash=item5d78f74fc6:g:YAkAAOSwhAJgPtta
3,PIXIES - Doolittle - Vinyl (LP),45.37,6.89,52.26,https://www.ebay.com.au/itm/403675662296?epid=1605498731&hash=item5dfcf1c7d8:g:j7EAAOSwq3Zi4dDi
4,"New listingPixies Doolittle Vinyl / 12"" Album NEU",52.02,4.85,56.870000000000005,https://www.ebay.com.au/itm/284925126788?epid=159400277&hash=item4256dc6884:g:rGQAAOSwyFpi8Kuw
5,"Pixies Doolittle Vinyl / 12"" Album NEW",52.75,5.75,58.5,https://www.ebay.com.au/itm/304586293215?epid=1605498731&hash=item46eac1ffdf:g:W4gAAOSwR6li6~vm
6,Pixies - Doolittle Vinyl LP 2004 NEW,59.39,0.0,59.39,https://www.ebay.com.au/itm/234564878696?epid=11050173324&hash=item369d280168:g:ppwAAOSwtophucnm
7,Pixies - Doolittle [VINYL],56.51,3.84,60.349999999999994,https://www.ebay.com.au/itm/293044687054?epid=1605498731&hash=item443ad310ce:g:I1cAAOSwQTVeRY1s
8,PIXIES - DOOLITTLE NEW VINYL RECORD,50.22,15.25,65.47,https://www.ebay.com.au/itm/354014371785?epid=1605498731&hash=item526ce69fc9:g:ZQsAAOSwxidiXGIw
9,PIXIES - DOOLITTLE - VINYL LP 180g *NEW & SEALED*,40.98,26.86,67.84,https://www.ebay.com.au/itm/255662688583?epid=1605498731&hash=item3b86af0947:g:qbsAAOSwVYdi7QIK
10,PIXIES - DOOLITTLE NEW VINYL,47.69,20.6,68.28999999999999,https://www.ebay.com.au/itm/144069206149?epid=21046056610&hash=item218b31a085:i:144069206149
11,"Herb Alpert Rise / Aranjuez (Mon Amour) Spain Vinyl 7 "" 45 A&M 1979 (Promo)",23.44,0.0,23.44,https://www.ebay.com.au/itm/174593759955?hash=item28a6995ad3:g:xEUAAOSwGc5f~epw
12,"Herb Alpert 7"" vinyl single record Rise UK AMS7465 A&M 1979",21.0,8.44,29.439999999999998,https://www.ebay.com.au/itm/393903654902?hash=item5bb67cc7f6:g:W5cAAOSwnRFh8~bN
13,"Herb Alpert Rise - Alternate B-Side 7"" vinyl single record UK",22.92,8.44,31.36,https://www.ebay.com.au/itm/275150850985?hash=item401044cba9:g:9tcAAOSwW5Jh-kL3
14,"Herb Alpert Rise 12"" vinyl single record (Maxi) UK AMS7465 A&M",22.9,8.92,31.82,https://www.ebay.com.au/itm/275152212045?hash=item401059904d:g:Z~YAAOSwL3xh-6Wu
15,"ALPERT, Herb - Rise - Vinyl (12"")",30.02,6.89,36.91,https://www.ebay.com.au/itm/115484386733?hash=item1ae367e5ad:g:VrQAAOSwuT1i68Lm
16,"HERB ALPERT rise LP EX/EX, AMLH 64790, vinyl, album, soul-jazz, uk, 1979,",41.47,0.02,41.49,https://www.ebay.com.au/itm/125416511783?hash=item1d33681927:g:cWIAAOSwwrdi0B5Y
17,"HERB ALPERT rise (1st uk press) LP EX/EX, AMLH 64790, vinyl, album, soul-jazz",41.47,0.02,41.49,https://www.ebay.com.au/itm/304563600892?hash=item46e967bdfc:g:ulUAAOSwhsBi0B5i
18,"HERB ALPERT rise (1st uk press) LP EX/EX, AMLH 64790, vinyl, album, soul-jazz",41.47,0.02,41.49,https://www.ebay.com.au/itm/304563570162?hash=item46e96745f2:g:Ka0AAOSwARVi0BTi
19,"HERB ALPERT rise LP EX/EX, AMLH 64790, vinyl, album, soul-jazz, uk, 1979,",41.47,0.02,41.49,https://www.ebay.com.au/itm/295094378557?hash=item44b4fee03d:g:7PIAAOSwf4Ni0BeX
20,Herb Alpert Rise Vinyl Single 7inch A&M Records,30.96,11.72,42.68,https://www.ebay.com.au/itm/303762458823?hash=item46b9a748c7:g:XS8AAOSwPHhfrCby
21,N/A,0.0,0.0,0.0,N/A
22,THE CHEMICAL BROTHERS   -   EXIT PLANET DUST        -  NEW  2LP VINYL SEALED,60.0,0.0,60.0,https://www.ebay.com.au/itm/133856065810?hash=item1f2a717912:g:DdoAAOSwYophIdHK
23,THE CHEMICAL BROTHERS - EXIT PLANET DUST - 2 LP VINYL NEW 2016 ALBUM,59.99,6.99,66.98,https://www.ebay.com.au/itm/165563548993?epid=18050150525&hash=item268c5b4541:g:8GwAAOSwVWth-i~s
24,"New listingThe Chemical Brothers  Exit Planet Dust Vinyl  (Record, 2012)",38.36,34.53,72.89,https://www.ebay.com.au/itm/125453261044?epid=13052238992&hash=item1d3598d8f4:g:wxoAAOSw8hJi7Yl3
25,"The Chemical Brothers, Exit Planet Dust Vinyl .",47.94,26.86,74.8,https://www.ebay.com.au/itm/165602763269?epid=13052238992&hash=item268eb1a205:g:GWAAAOSwbG5i2Tf3
26,The Chemical Brothers Exit Planet Dust Double Vinyl New,43.51,36.62,80.13,https://www.ebay.com.au/itm/295021366533?hash=item44b0a4cd05:g:6ekAAOSwTXdim05g
27,"The Chemical Brothers, Exit Planet Dust Vinyl Record/LP *NEW*",63.21,29.73,92.94,https://www.ebay.com.au/itm/284532532157?epid=13052238992&hash=item423f75e3bd:g:9pMAAOSw0Q1hCqxS
28,Exit Planet Dust [VINYL] by The Chemical Brothers,94.04,0.0,94.04,https://www.ebay.com.au/itm/185141983163?epid=18050150525&hash=item2b1b5277bb:g:Mk4AAOSwX7Ficv8T
29,The Chemical Brothers ‎- Exit Planet Dust (Double LP) (180g Vinyl) (M/M) (Sld),57.53,39.8,97.33,https://www.ebay.com.au/itm/402801796013?hash=item5dc8dba3ad:g:36sAAOSwUKlgfvO~
30,THE CHEMICAL BROTHERS EXIT PLANET DUST ASTRALWERKS ASW61571 US VINYL 2LP,71.56,36.58,108.14,https://www.ebay.com.au/itm/363596247411?hash=item54a8067173:g:VAgAAOSwR6lheRaI
31,THE CHEMICAL BROTHERS EXIT PLANET DUST 2x LP VINYL EU PRESS VIRGIN RECORDS New,95.28,28.55,123.83,https://www.ebay.com.au/itm/112800517174?hash=item1a436f4c36:g:NbsAAOSw2tFaei~7
32,The Allman Brothers Band Reach For The Sky Arista Vinyl LP,21.49,11.72,33.21,https://www.ebay.com.au/itm/384944309370?hash=item59a078047a:g:oOwAAOSw4pxipMl7
33,"The Allman Brothers Band Win, Lose Or Draw Capricorn Records Vinyl LP",25.97,11.72,37.69,https://www.ebay.com.au/itm/304521245456?hash=item46e6e17310:g:8rQAAOSw32tiojYD
34,Leif De Leeuw Band Plays the Allman Brothers Band Vinyl NEW,36.36,3.3,39.66,https://www.ebay.com.au/itm/354178005418?epid=13050164800&hash=item5276a779aa:g:Ba0AAOSwzW1i2OMc
35,The Allman Brothers Band - Brothers And Sisters [VINYL],40.19,0.0,40.19,https://www.ebay.com.au/itm/275318690269?epid=15050143405&hash=item401a45d1dd:g:JecAAOSwFhBih2sB
36,Leif De Leeuw Band Plays the Allman Brothers Band Vinyl NEU,39.18,4.85,44.03,https://www.ebay.com.au/itm/284903075831?hash=item42558beff7:g:a4wAAOSwZ5li14Gk
37,"The Allman Brothers Band - Win, Lose or Draw  -LP Vinyl BRNAD NEW,SEALED",26.14,18.99,45.129999999999995,https://www.ebay.com.au/itm/393543148232?hash=item5ba0ffe2c8:g:MngAAOSwGvZf-Ggl
38,Leif De Leeuw Band Plays the Allman Brothers Band Vinyl NEW,39.55,5.75,45.3,https://www.ebay.com.au/itm/354175383054?epid=17052269485&hash=item52767f760e:g:N9YAAOSwz5Vi1wvr
39,"Win, Lose or Draw [Vinyl LP]. The Allman Brothers Band:",23.91,22.64,46.55,https://www.ebay.com.au/itm/304405968064?hash=item46e00274c0:g:JzcAAOSwOkFiiMLI
40,The Allman Brothers Band Brothers and Sisters Vinyl NEU,41.85,4.85,46.7,https://www.ebay.com.au/itm/284854406219?epid=166050774&hash=item4252a54c4b:g:agQAAOSwVaJip4po
41,The Allman Brothers Band ‎– Brothers And Sisters  German Reissued Vinyl LP,26.88,19.88,46.76,https://www.ebay.com.au/itm/144232490678?hash=item2194ed26b6:g:ixkAAOSwJJFfbOSy
42,Led Zeppelin(Vinyl LP Gatefold)Untitled-Atlantic-8122-79657-7-2020-M/M,40.26,11.49,51.75,https://www.ebay.com.au/itm/314065913810?epid=23052243722&hash=item491fc987d2:g:7Z0AAOSwn21iyDE-
43,LED ZEPPELIN IV/Untitled VINYL LP P-8166A Japanese Press,21.69,34.96,56.650000000000006,https://www.ebay.com.au/itm/314097656932?hash=item4921ade464:g:v5YAAOSwRuZi0y~A
44,Led Zeppelin IV Untitled - 1971 gatefold Vinyl LP Album - SD 19129 Monarch,25.31,35.05,60.36,https://www.ebay.com.au/itm/255627469025?hash=item3b8495a0e1:g:j6QAAOSw7IBizkXT
45,Led Zeppelin - Untitled - Vinyl Record.. - Q1085A,36.01,26.68,62.69,https://www.ebay.com.au/itm/385028356393?hash=item59a57a7929:g:GxwAAOSwf8Bi4IJx
46,"Led Zeppelin IV Untitled (LP, 1971) SD 7208 LP~Vinyl Scratched",28.91,36.58,65.49,https://www.ebay.com.au/itm/234543077324?hash=item369bdb57cc:g:qC8AAOSww3ZidvR3
47,Led Zeppelin ‎– Untitled lV Symbols : SPAIN PLUM – HATS 421-81  Vinyl LP@,38.36,28.77,67.13,https://www.ebay.com.au/itm/265337807916?hash=item3dc75da42c:g:GZ0AAOSwHYdggKjr
48,New listingLed Zeppelin 4 (Untitled) Atlantic Vinyl LPVG/VG/VG+,34.88,32.73,67.61,https://www.ebay.com.au/itm/255666207877?hash=item3b86e4bc85:g:9xMAAOSwfuRiP3yG
49,Led Zeppelin - Untitled - Vinyl Record.. - Q34A,41.02,26.86,67.88,https://www.ebay.com.au/itm/325262985072?hash=item4bbb2f4770:g:5xUAAOSwcXpiywVn
50,Led Zeppelin - Untitled - Vinyl Record.. - Q34A,41.02,26.86,67.88,https://www.ebay.com.au/itm/325262985082?hash=item4bbb2f477a:g:dg0AAOSwi7BiywVn
51,New listingLed Zeppelin - Untitled - Vinyl Record.. - Q1202A,42.48,26.91,69.39,https://www.ebay.com.au/itm/374206163857?hash=item57206ceb91:g:lV0AAOSwOD1i8J7i
52,Phantogram - Three Vinyl LP SEALED,57.84,35.82,93.66,https://www.ebay.com.au/itm/234554566881?hash=item369c8aa8e1:g:KJcAAOSw0cVigfTB
53,"Phantogram - Three, Sealed  12"" Vinyl LP, UK Seller",76.71,28.13,104.83999999999999,https://www.ebay.com.au/itm/363923079497?epid=8052274405&hash=item54bb818149:g:q~cAAOSwdhhi4VjC
54,"NATIONAL, The - Boxer - Vinyl (LP)",44.41,6.89,51.3,https://www.ebay.com.au/itm/115472161834?epid=10052244335&hash=item1ae2ad5c2a:g:WP8AAOSwPUxi5xEe
55,The National - Boxer [New Vinyl LP],41.32,10.48,51.8,https://www.ebay.com.au/itm/134116344692?epid=3046076956&hash=item1f39f50374:g:bLoAAOSw03xifUg1
56,The National - Boxer VINYL LP,52.95,0.0,52.95,https://www.ebay.com.au/itm/225002954827?epid=19050202708&hash=item346338a04b:g:2TsAAOSw6wRijq96
57,The National Boxer vinyl LP NEW/SEALED,54.99,0.0,54.99,https://www.ebay.com.au/itm/265737810413?epid=19050202708&hash=item3ddf3531ed:g:whUAAOSwb4ZiqYxj
58,THE NATIONAL BOXER LIMITED YELLOW vinyl LP +DOWNLOAD Record SEALED/BRAND NEW,48.99,6.99,55.980000000000004,https://www.ebay.com.au/itm/224905547983?hash=item345d6a50cf:g:poQAAOSwWQ9iqYxM
59,The National - Boxer Vinyl LP 2007 BRAND NEW,59.39,0.0,59.39,https://www.ebay.com.au/itm/374044806501?epid=19050202708&hash=item5716cecd65:g:XIoAAOSwnO5huc0o
60,THE NATIONAL BOXER NEW SEALED COLOURED VINYL LP IN STOCK,34.88,27.13,62.010000000000005,https://www.ebay.com.au/itm/354192900341?hash=item52778ac0f5:g:hr8AAOSwMpNhvMje
61,The National - Boxer [New Vinyl LP Album] with Download Voucher,37.58,24.54,62.12,https://www.ebay.com.au/itm/304565888236?epid=3046076956&hash=item46e98aa4ec:g:L8YAAOSwCWJig9iF
62,The National - Boxer Vinyl LP 2007 NEW,43.58,26.94,70.52,https://www.ebay.com.au/itm/385033495198?epid=10052244335&hash=item59a5c8e29e:g:SMYAAOSw6VRbK9Eu
63,The National BOXER +MP3s BEGGARS BANQUET RECORDS New Sealed Black Vinyl LP,34.69,36.64,71.33,https://www.ebay.com.au/itm/144546740965?epid=3046076956&hash=item21a7a83ae5:g:FhMAAOSwLpdW9XT1
64,Oasis What's The Story Morning Glory vinyl 2 LP trifold sleeve NEW/SEALED,69.99,0.0,69.99,https://www.ebay.com.au/itm/231497713704?epid=0&hash=item35e656c828:g:roUAAOSw0NRhQQ5~
65,OASIS What's The Story Morning Glory vinyl 2 LP Record SEALED/BRAND NEW,63.99,6.99,70.98,https://www.ebay.com.au/itm/323987129134?hash=item4b6f23432e:g:G6sAAOSwJN5hQQ6I
66,OASIS - (What's The Story) Morning Glory? (remastered) - Vinyl (2xLP),59.27,16.96,76.23,https://www.ebay.com.au/itm/115450513504?epid=20052254805&hash=item1ae1630860:g:kfQAAOSwDUpi4Qz6
67,Oasis - (What's The Story) Morning Glory? - 2 x Remastered Vinyl LP - New/Sealed,52.75,23.98,76.73,https://www.ebay.com.au/itm/165614581572?epid=20052254805&hash=item268f65f744:g:htoAAOSwS5Bh~tS3
68,Oasis - (What's The Story) Morning Glory - 2 x 180gram Vinyl Lp NEW & SEALED,62.9,15.13,78.03,https://www.ebay.com.au/itm/233624208869?epid=20052254805&hash=item36651685e5:g:3SMAAOSwpLBdNvPB
69,Oasis  (What’s The Story) Morning Glory ?  2 × Vinyl LP Reissue Remastered,56.59,23.98,80.57000000000001,https://www.ebay.com.au/itm/165575817749?epid=20052254805&hash=item268d167a15:g:htoAAOSwS5Bh~tS3
70,Oasis - (What's The Story) Morning Glory? (Remastered) (NEW 2 VINYL LP),53.69,32.61,86.3,https://www.ebay.com.au/itm/354169781901?epid=20052254805&hash=item527629fe8d:g:YaUAAOSwL-li0sh4
71,Oasis – (What’s The Story) Morning Glory ? 2 x VINYL,52.32,35.1,87.42,https://www.ebay.com.au/itm/334522832737?hash=item4de31d5761:g:41EAAOSwnmJinLYr
72,Oasis ‎– (What's The Story) Morning Glory? : Big Brother ‎– SEALED VINYL 2LP,72.87,49.91,122.78,https://www.ebay.com.au/itm/274898537221?hash=item40013acb05:g:kdEAAOSwc5NhEYs6
73,Oasis – (What's The Story) Morning Glory? – 2LP Vinyl – 180g - Trifold Sleeve NM,39.04,91.1,130.14,https://www.ebay.com.au/itm/115482706501?epid=13046045270&hash=item1ae34e4245:g:jIwAAOSwUcJi6X8y
74,"TOTO toto iv LP EX-/VG, CBS 85529, vinyl, album, pop rock, AOR, classic rock",29.06,0.0,29.06,https://www.ebay.com.au/itm/294884312436?hash=item44a8798574:g:LYwAAOSwpOdiPckt
75,"TOTO toto iv LP EX-/VG, CBS 85529, vinyl, album, pop rock, AOR, classic rock",36.79,0.02,36.81,https://www.ebay.com.au/itm/304412979411?hash=item46e06d70d3:g:FywAAOSwxxpiPeZ9
76,LP TOTO Iv 20AP2280 CBS SONY JAPAN Vinyl OBI,37.92,0.0,37.92,https://www.ebay.com.au/itm/314039143813?hash=item491e310d85:g:5-IAAOSwSD9irCcz
77,"TOTO toto iv (1st uk press) LP EX/VG, CBS 85529, vinyl, album, classic rock,",32.55,0.0,32.55,https://www.ebay.com.au/itm/304350805734?hash=item46dcb8bee6:g:OukAAOSwbJFiA2kf
78,"TOTO toto iv LP EX-/VG, CBS 85529, vinyl, album, pop rock, AOR, classic rock",40.42,0.02,40.440000000000005,https://www.ebay.com.au/itm/294884542250?hash=item44a87d072a:g:mAkAAOSwJ6JiPfCr
79,"TOTO toto iv LP EX-/VG, CBS 85529, vinyl, album, pop rock, AOR, classic rock",40.42,0.02,40.440000000000005,https://www.ebay.com.au/itm/304412994287?hash=item46e06daaef:g:ZVsAAOSw1bNiPekK
80,"TOTO toto iv (1st uk press) LP EX/VG, CBS 85529, vinyl, album, classic rock,",40.42,0.02,40.440000000000005,https://www.ebay.com.au/itm/304350845028?hash=item46dcb95864:g:FZsAAOSwulViA3Z6
81,"TOTO toto iv LP EX/EX-, CBS 450088 1, vinyl, album, uk, 1982, classic rock",36.18,0.0,36.18,https://www.ebay.com.au/itm/304412703321?hash=item46e0693a59:g:j5cAAOSwliNiPce8
82,"TOTO toto iv (1st uk press) LP EX/VG, CBS 85529, vinyl, album, classic rock,",44.42,0.02,44.440000000000005,https://www.ebay.com.au/itm/125139802442?hash=item1d22e9d94a:g:dosAAOSwiQNiA4Ma
83,"TOTO toto iv (1st uk press) LP EX/VG, CBS 85529, vinyl, album, classic rock,",44.42,0.02,44.440000000000005,https://www.ebay.com.au/itm/125139759829?hash=item1d22e932d5:g:TfcAAOSwwAliA3oE
84,Genesis – The Lamb Lies Down On Broadway 1974 Charisma  - Vinyl Records 2 LP 1st,30.0,12.95,42.95,https://www.ebay.com.au/itm/185528868213?hash=item2b3261dd75:g:gAgAAOSwFHxiroDA
85,Genesis - The Lamb Lies Down On Broadway Double Vinyl LP,26.14,26.33,52.47,https://www.ebay.com.au/itm/393973100022?hash=item5bbaa06df6:g:ubAAAOSwY~piI3QO
86,Genesis - The Lamb Lies Down On Broadway - Vinyl Record.. - Q1085A,27.29,26.37,53.66,https://www.ebay.com.au/itm/374190562828?hash=item571f7ede0c:g:qSwAAOSwvYhi4IJy
87,Genesis - The Lamb Lies Down On Broadway - Vinyl Record lp.. - Q34A,30.12,26.47,56.59,https://www.ebay.com.au/itm/384999485395?hash=item59a3c1efd3:g:XrEAAOSwNvxiywNx
88,The Lamb Lies Down on Broadway - Genesis vinyl double album ATCO label,26.16,33.66,59.81999999999999,https://www.ebay.com.au/itm/275345956936?hash=item401be5e048:g:qHkAAOSwNy9iSIIF
89,Genesis - The Lamb Lies Down On Broadway [VINYL],61.19,0.0,61.19,https://www.ebay.com.au/itm/275318843063?epid=24050191092&hash=item401a4826b7:g:4bUAAOSwuS1ih3gj
90,"GENESIS the lamb lies down on broadway 2X LP EX-/EX-, CGS 101, vinyl, album, uk",54.02,0.0,54.02,https://www.ebay.com.au/itm/304391033380?hash=item46df1e9224:g:UtwAAOSwJw9iKehg
91,Genesis – The Lamb Lies Down On Broadway .Vinyl LP. Repress. Double gatefold,27.9,34.23,62.129999999999995,https://www.ebay.com.au/itm/284916476676?hash=item4256586b04:g:A5AAAOSw3KViTzOi
92,Vintage Genesis - In Your Wardrobe/The Lamb Lies Down On Broadway 45 Vinyl...,21.68,41.04,62.72,https://www.ebay.com.au/itm/294999444005?hash=item44af564a25:g:QI4AAOSwc4JijAfS
93,"The Lamb Lies Down on Broadway [Vinyl, 2 LPs Nr. CGS 101]. Genesis:",41.7,22.64,64.34,https://www.ebay.com.au/itm/354058296472?hash=item526f84dc98:g:VjkAAOSwiANifq2V
94,Son Lux-TOMORROWS (BLK) (OFGV) (DLCD) VINYL LP NEW,45.52,3.3,48.82,https://www.ebay.com.au/itm/284656574602?epid=10050190086&hash=item4246daa08a:g:lXUAAOSw-fRiDVXv
95,Son Lux-TOMORROWS (BLK) (OFGV) (DLCD) VINYL LP NEU,48.69,4.85,53.54,https://www.ebay.com.au/itm/353916016364?hash=item526709d6ec:g:ks4AAOSwlgRiDWcF
96,Son Lux-TOMORROWS (BLK) (OFGV) (DLCD) VINYL LP NEW,49.34,5.75,55.09,https://www.ebay.com.au/itm/304360226950?epid=2323298761&hash=item46dd488086:g:VWYAAOSwk~FiDWOi
97,"Son Lux - Tomorrows [New Vinyl LP] Black, 140 Gram Vinyl, Digital Download",64.61,10.48,75.09,https://www.ebay.com.au/itm/144137681869?epid=24048599625&hash=item218f467bcd:g:hLUAAOSw6vJhCR-S
98,SON LUX - TOMORROWS - Vinyl Record L.P. SET.. - P707A,50.41,27.19,77.6,https://www.ebay.com.au/itm/384956769670?epid=2323298761&hash=item59a1362586:g:TIYAAOSwIUpirf9M
99,SON LUX-TOMORROWS (BLK) (OFGV) (DLCD) (US IMPORT) VINYL LP NEW,92.08,3.3,95.38,https://www.ebay.com.au/itm/114911950684?epid=10050190086&hash=item1ac149375c:g:mG4AAOSwiLZhAtwa
100,SON LUX-TOMORROWS (BLK) (OFGV) (DLCD) (Importación USA) VINYL LP NUEVO,97.71,4.85,102.55999999999999,https://www.ebay.com.au/itm/114912130208?hash=item1ac14bf4a0:g:0mwAAOSwz~BhAwi-
101,Son Lux Tomorrows VINYL LP NEW,97.98,6.36,104.34,https://www.ebay.com.au/itm/403585188881?epid=24048599625&hash=item5df78d4411:g:CqkAAOSwW8diTDo5
102,SON LUX-TOMORROWS (BLK) (OFGV) (DLCD) VINYL LP NEW,99.85,4.92,104.77,https://www.ebay.com.au/itm/234097697135?hash=item36814f616f:g:9x4AAOSw5eRg94mi
103,Son Lux: Tomorrows =LP vinyl *BRAND NEW*=,85.53,21.1,106.63,https://www.ebay.com.au/itm/165540023949?hash=item268af44e8d:g:BfAAAOSwMeJir0r2
104,The Mars Volta - De-Loused In The Comatorium (VMP Essentials) | 2LP Vinyl Me,34.88,36.22,71.1,https://www.ebay.com.au/itm/175370003506?hash=item28d4dde432:g:P1cAAOSwwfBi6B44
105,Mars Volta Landscape Tantrums GLOW IN DARK VINYL! De​-​Loused In The Comatorium!,56.45,44.54,100.99000000000001,https://www.ebay.com.au/itm/394007967694?hash=item5bbcb477ce:g:JFYAAOSwt8piQnz6
106,THE MARS VOLTA De-Loused in the Comatorium Black/Gold Vinyl Me Please VMP 2LP,77.0,36.5,113.5,https://www.ebay.com.au/itm/394177682125?hash=item5bc6d21acd:g:tecAAOSwIUNi3xcB
107,THE MARS VOLTA De-Loused in the Comatorium Black/Gold VMP Vinyl Me Please 2 LP,95.42,35.79,131.21,https://www.ebay.com.au/itm/155086279104?hash=item241bdcd1c0:g:4EkAAOSwz9Zi2ZYR
108,THE MARS VOLTA DE-LOUSED IN THE COMATORIUM VINYL ME PLEASE VMP GOLD VINYL LP .,92.06,53.69,145.75,https://www.ebay.com.au/itm/325290092094?hash=item4bbccce63e:g:ZocAAOSwfcti37Vh
109,Matt Costa Yellow Coat VINYL LP NEW,32.09,3.3,35.39,https://www.ebay.com.au/itm/304570805555?epid=10050188215&hash=item46e9d5ad33:g:CcUAAOSwIeVi2Tjs
110,Matt Costa Yellow Coat VINYL LP NEU,34.75,4.85,39.6,https://www.ebay.com.au/itm/304508741020?hash=item46e622a59c:g:dVoAAOSwJ3VilOiR
111,Matt Costa Yellow Coat VINYL LP NEW,34.99,5.75,40.74,https://www.ebay.com.au/itm/354084674684?epid=13052268770&hash=item5271175c7c:g:KsQAAOSw-PZilKj9
